"","group","Pig","Sample.type","Day","Treatment","All","Order","value","value2"
"491","X9P283R2Dm3",283,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Clostridiales",0.215444015444015,1.07722007722008
"492","X9P284R2D0",284,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Clostridiales",0.317167051578137,6.34334103156274
"493","X9P284R2D7",284,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Clostridiales",0.280647648419429,2.80647648419429
"494","X9P284R2Dm3",284,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Clostridiales",0.176697530864198,0.883487654320988
"495","X9P285R2D7",285,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Clostridiales",0.251732101616628,2.51732101616628
"496","X9P285R2Dm3",285,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Clostridiales",0.215503875968992,1.07751937984496
"497","X9P286R3D0",286,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.446414803392444,3.43396002609572
"498","X9P286R3Dm3",286,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.148804934464148,0.930030840400925
"499","X9P287R3Dm3",287,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.315953307392996,1.97470817120623
"500","X9P288R3Dm3",288,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.223592906707787,1.39745566692367
"501","X9P289R3Dm3",289,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.196759259259259,1.22974537037037
"502","X9P290R3D0",290,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.203245749613601,1.56342884318155
"503","X9P290R3Dm3",290,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.239130434782609,1.4945652173913
"504","X9P291R3D0",291,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.355435620663069,2.73412015894668
"505","X9P291R3D7",291,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.275038520801233,2.75038520801233
"506","X9P292R3D7",292,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.308346213292117,3.08346213292117
"507","X9P292R3Dm3",292,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.282945736434109,1.76841085271318
"508","X9P293R3D0",293,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.448727833461835,3.45175256509104
"509","X9P293R3D7",293,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.295752895752896,2.95752895752896
"510","X9P293R3Dm3",293,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.0769230769230769,0.480769230769231
"511","X9P294R3D7",294,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.249033255993813,2.49033255993813
"512","X9P294R3Dm3",294,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.086286594761171,0.539291217257319
"513","X9P295R3D0",295,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.363425925925926,2.79558404558405
"514","X9P295R3D7",295,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.386100386100386,3.86100386100386
"515","X9P295R3Dm3",295,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.173979984603541,1.08737490377213
"516","X9P296R3D0",296,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.126348228043143,0.971909446485718
"517","X9P296R3Dm3",296,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.209714726291442,1.31071703932151
"518","X9P297R3D0",297,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.0747303543913713,0.574848879933626
"519","X9P299R3D0",299,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.385030864197531,2.96177587844254
"520","X9P299R3Dm3",299,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.126445643793369,0.790285273708558
"521","X9P300R3D0",300,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.141538461538462,1.0887573964497
"522","X9P300R3Dm3",300,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.226851851851852,1.41782407407407
"523","X9P301R3D0",301,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.305084745762712,2.34680573663625
"524","X9P301R3D7",301,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.287365177195686,2.87365177195686
"525","X9P301R3Dm3",301,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.192604006163328,1.2037750385208
"526","X9P302R3D0",302,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.316034082106894,2.43103140082226
"527","X9P302R3D7",302,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.353715170278638,3.53715170278638
"528","X9P302R3Dm3",302,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.389620449264136,2.43512780790085
"529","X9P303R3D7",303,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.235929067077872,2.35929067077872
"530","X9P304R3D0",304,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.315384615384615,2.42603550295858
"531","X9P304R3D7",304,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.144067796610169,1.44067796610169
"532","X9P304R3Dm3",304,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.10939907550077,0.683744221879815
"533","X9P305R3D0",305,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Clostridiales",0.156153846153846,1.20118343195266
"534","X9P305R3D7",305,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Clostridiales",0.254237288135593,2.54237288135593
"535","X9P305R3Dm3",305,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Clostridiales",0.233436055469954,1.45897534668721
"536","X9P306R4Dm3",306,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.221533694810225,1.3845855925639
"537","X9P307R4Dm3",307,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.353810264385692,2.21131415241058
"538","X9P308R4D0",308,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.325798908807482,4.65427012582118
"539","X9P308R4Dm3",308,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.274555297757154,1.71597061098221
"540","X9P309R4D0",309,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.12933025404157,1.84757505773672
"541","X9P310R4D0",310,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.23497688751926,3.35681267884658
"542","X9P310R4Dm3",310,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.227799227799228,1.42374517374517
"543","X9P311R4D7",311,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.242566510172144,2.42566510172144
"544","X9P311R4Dm3",311,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.219114219114219,1.36946386946387
"545","X9P312R4D7",312,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.137451737451737,1.37451737451737
"546","X9P312R4Dm3",312,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.0966744006187162,0.604215003866976
"547","X9P313R4D7",313,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.272517321016166,2.72517321016166
"548","X9P313R4Dm3",313,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.110510046367852,0.690687789799073
"549","X9P314R4D7",314,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.157407407407407,1.57407407407407
"550","X9P315R4D7",315,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.177692307692308,1.77692307692308
"551","X9P316R4Dm3",316,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.145173745173745,0.907335907335907
"552","X9P317R4D0",317,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.62788906009245,8.96984371560643
"553","X9P317R4Dm3",317,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.147262914417887,0.920393215111797
"554","X9P319R4Dm3",319,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.212074303405573,1.32546439628483
"555","X9P320R4D0",320,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.277906081601232,3.9700868800176
"556","X9P320R4Dm3",320,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.110254433307633,0.689090208172706
"557","X9P321R4D7",321,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.170656370656371,1.70656370656371
"558","X9P321R4Dm3",321,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.284382284382284,1.77738927738928
"559","X9P322R4D0",322,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.0840400925212028,1.2005727503029
"560","X9P322R4D7",322,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.162557781201849,1.62557781201849
"561","X9P322R4Dm3",322,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.161764705882353,1.01102941176471
"562","X9P323R4D7",323,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.403712296983759,4.03712296983759
"563","X9P323R4Dm3",323,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.268160741885626,1.67600463678516
"564","X9P324R4D0",324,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Clostridiales",0.352986811481769,5.04266873545384
"565","X9P324R4D7",324,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.204334365325077,2.04334365325077
"566","X9P324R4Dm3",324,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.180340557275542,1.12712848297214
"567","X9P325R4D7",325,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Clostridiales",0.256809338521401,2.56809338521401
"568","X9P325R4Dm3",325,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Clostridiales",0.269680436477007,1.68550272798129
"569","X9P246R1Dm3",246,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0108024691358025,0.0600137174211248
"570","X9P247R1Dm3",247,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0147286821705426,0.0818260120585702
"571","X9P248R1Dm3",248,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0246343341031563,0.136857411684202
"572","X9P249R1Dm3",249,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0107941403238242,0.0599674462434678
"573","X9P250R1D0",250,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.00153846153846154,0.0170940170940171
"574","X9P250R1Dm3",250,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0146945088940449,0.0816361605224714
"575","X9P251R1D7",251,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0,0
"576","X9P251R1Dm3",251,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0108108108108108,0.0600600600600601
"577","X9P252R1Dm3",252,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.00929512006196747,0.0516395558998193
"578","X9P253R1D7",253,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0,0
"579","X9P253R1Dm3",253,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.00232378001549187,0.0129098889749548
"580","X9P254R1Dm3",254,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.0116459627329193,0.0646997929606625
"581","X9P255R1D0",255,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.00230769230769231,0.0256410256410256
"582","X9P255R1D7",255,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0,0
"583","X9P255R1Dm3",255,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.00308641975308642,0.0171467764060357
"584","X9P257R1D0",257,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0,0
"585","X9P257R1Dm3",257,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0,0
"586","X9P258R1D0",258,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.00923076923076923,0.102564102564103
"587","X9P258R1Dm3",258,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.00308641975308642,0.0171467764060357
"588","X9P259R1D0",259,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.0362934362934363,0.403260403260403
"589","X9P259R1Dm3",259,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0,0
"590","X9P261R1D0",261,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.00694980694980695,0.0772200772200772
"591","X9P261R1D7",261,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0.00154559505409583,0.0193199381761978
"592","X9P261R1Dm3",261,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0,0
"593","X9P262R1D7",262,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0,0
"594","X9P262R1Dm3",262,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0,0
"595","X9P263R1D0",263,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.118238021638331,1.31375579598145
"596","X9P263R1D7",263,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0.00384615384615385,0.0480769230769231
"597","X9P263R1Dm3",263,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0,0
"598","X9P264R1D0",264,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.014626635873749,0.162518176374989
"599","X9P264R1D7",264,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0,0
"600","X9P264R1Dm3",264,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0,0
"601","X9P265R1D0",265,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Enterobacteriales",0.00538461538461538,0.0598290598290598
"602","X9P265R1D7",265,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Enterobacteriales",0.000770416024653313,0.00963020030816641
"603","X9P265R1Dm3",265,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Enterobacteriales",0.00154798761609907,0.0085999312005504
"604","X9P266R2Dm3",266,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.073959938366718,0.36979969183359
"605","X9P267R2D0",267,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Enterobacteriales",0.029320987654321,0.58641975308642
"606","X9P267R2Dm3",267,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.117374517374517,0.586872586872587
"607","X9P268R2Dm3",268,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.000771010023130301,0.0038550501156515
"608","X9P269R2D0",269,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Enterobacteriales",0.0023094688221709,0.046189376443418
"609","X9P269R2Dm3",269,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.000773993808049536,0.00386996904024768
"610","X9P270R2Dm3",270,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.00153846153846154,0.00769230769230769
"611","X9P271R2D7",271,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0,0
"612","X9P271R2Dm3",271,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.000771604938271605,0.00385802469135802
"613","X9P272R2D7",272,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.00771604938271605,0.0771604938271605
"614","X9P272R2Dm3",272,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.00462249614791988,0.0231124807395994
"615","X9P273R2D7",273,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.0023130300693909,0.023130300693909
"616","X9P273R2Dm3",273,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0310077519379845,0.155038759689922
"617","X9P274R2D7",274,"Fecal or Fecal swab","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.00540540540540541,0.0540540540540541
"618","X9P274R2Dm3",274,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.00386697602474865,0.0193348801237432
"619","X9P275R2D7",275,"Fecal or Fecal swab","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.0116640746500778,0.116640746500778
"620","X9P275R2Dm3",275,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0987654320987654,0.493827160493827
"621","X9P276R2Dm3",276,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.000777000777000777,0.00388500388500389
"622","X9P277R2Dm3",277,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0069713400464756,0.034856700232378
"623","X9P278R2D0",278,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Enterobacteriales",0.00849420849420849,0.16988416988417
"624","X9P278R2Dm3",278,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0046260601387818,0.023130300693909
"625","X9P279R2Dm3",279,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.178792569659443,0.893962848297214
"626","X9P280R2D0",280,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Enterobacteriales",0.00771010023130301,0.15420200462606
"627","X9P280R2Dm3",280,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0200308166409861,0.100154083204931
"628","X9P281R2D7",281,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.00308166409861325,0.0308166409861325
"629","X9P281R2Dm3",281,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0138888888888889,0.0694444444444444
"630","X9P282R2D7",282,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0,0
"631","X9P282R2Dm3",282,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0392307692307692,0.196153846153846
"632","X9P283R2D7",283,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.00154083204930663,0.0154083204930663
"633","X9P283R2Dm3",283,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.00231660231660232,0.0115830115830116
"634","X9P284R2D0",284,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Enterobacteriales",0.00384911470361817,0.0769822940723634
"635","X9P284R2D7",284,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0.00848111025443331,0.0848111025443331
"636","X9P284R2Dm3",284,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0625,0.3125
"637","X9P285R2D7",285,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Enterobacteriales",0,0
"638","X9P285R2Dm3",285,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Enterobacteriales",0.0155038759689922,0.0775193798449612
"639","X9P286R3D0",286,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0015420200462606,0.0118616926635431
"640","X9P286R3Dm3",286,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.000771010023130301,0.00481881264456438
"641","X9P287R3Dm3",287,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00622568093385214,0.0389105058365759
"642","X9P288R3Dm3",288,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00616808018504241,0.038550501156515
"643","X9P289R3Dm3",289,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00462962962962963,0.0289351851851852
"644","X9P290R3D0",290,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0123647604327666,0.0951135417905124
"645","X9P290R3Dm3",290,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.0108695652173913,0.0679347826086956
"646","X9P291R3D0",291,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0038550501156515,0.0296542316588577
"647","X9P291R3D7",291,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0.000770416024653313,0.00770416024653313
"648","X9P292R3D7",292,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0,0
"649","X9P292R3Dm3",292,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.000775193798449612,0.00484496124031008
"650","X9P293R3D0",293,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0100231303006939,0.0771010023130301
"651","X9P293R3D7",293,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0,0
"652","X9P293R3Dm3",293,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.0253846153846154,0.158653846153846
"653","X9P294R3D7",294,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0.00154679040989946,0.0154679040989946
"654","X9P294R3Dm3",294,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.051617873651772,0.322611710323575
"655","X9P295R3D0",295,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.000771604938271605,0.00593542260208927
"656","X9P295R3D7",295,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0,0
"657","X9P295R3Dm3",295,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.000769822940723634,0.00481139337952271
"658","X9P296R3D0",296,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0177195685670262,0.136304373592509
"659","X9P296R3Dm3",296,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.0046260601387818,0.0289128758673863
"660","X9P297R3D0",297,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0061633281972265,0.0474102169017423
"661","X9P299R3D0",299,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0192901234567901,0.148385565052232
"662","X9P299R3Dm3",299,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0,0
"663","X9P300R3D0",300,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.00538461538461538,0.0414201183431953
"664","X9P300R3Dm3",300,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00154320987654321,0.00964506172839506
"665","X9P301R3D0",301,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0,0
"666","X9P301R3D7",301,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0.00385208012326656,0.0385208012326656
"667","X9P301R3Dm3",301,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00308166409861325,0.0192604006163328
"668","X9P302R3D0",302,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0139426800929512,0.107251385330394
"669","X9P302R3D7",302,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0.000773993808049536,0.00773993808049536
"670","X9P302R3Dm3",302,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00619674670797831,0.0387296669248645
"671","X9P303R3D7",303,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0.0038550501156515,0.038550501156515
"672","X9P304R3D0",304,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.00615384615384615,0.0473372781065089
"673","X9P304R3D7",304,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0.000770416024653313,0.00770416024653313
"674","X9P304R3Dm3",304,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.000770416024653313,0.00481510015408321
"675","X9P305R3D0",305,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Enterobacteriales",0.0184615384615385,0.142011834319527
"676","X9P305R3D7",305,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Enterobacteriales",0,0
"677","X9P305R3Dm3",305,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Enterobacteriales",0.00539291217257319,0.0337057010785824
"678","X9P306R4Dm3",306,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Enterobacteriales",0.00387296669248644,0.0242060418280403
"679","X9P307R4Dm3",307,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Enterobacteriales",0.0046656298600311,0.0291601866251944
"680","X9P308R4D0",308,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Enterobacteriales",0.0288386593920499,0.411980848457856
"681","X9P308R4Dm3",308,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Enterobacteriales",0.000773395204949729,0.00483372003093581
"682","X9P309R4D0",309,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Enterobacteriales",0.0246343341031563,0.351919058616518
